Identitas,KodeProv,Provinsi,KodeKab,KabKota,KodeKat,Kategori,Namakejadian,Tanggal,Bulan,Tahun,Meninggal,Lukaluka,Hilang,Terdampak,Mengungsi,RumahRusakBerat,RumahRusakSedang,RumahRusakRingan,Kesehatan,Peribadatan,Pendidikan
1372108200909301,13,Sumatera Barat,1372,Kota Solok,108,Gempa Bumi,Gempa Bumi,30,9,2009,3,0,,0,0,,,,4,,5
1308108200909301,13,Sumatera Barat,1308,Lima Puluh Kota,108,Gempa Bumi,Gempa Bumi,30,9,2009,,0,,0,0,,,,,,
1310108200909301,13,Sumatera Barat,1310,Solok Selatan,108,Gempa Bumi,Gempa Bumi,30,9,2009,,0,,0,0,,,,,,
1373108200909301,13,Sumatera Barat,1373,Sawahlunto,108,Gempa Bumi,Gempa Bumi,30,9,2009,,0,,0,0,,,,,,
3471201200909291,34,DI Yogyakarta,3471,Kota Yogyakarta,201,Kebakaran,Kebakaran,29,9,2009,,0,,0,0,,,,,,
1171105200909291,11,Aceh,1171,kota Banda Aceh,105,Puting Beliung,Puting Beliung,29,9,2009,,0,,0,0,,,,,,1
3328201200909291,33,Jawa Tengah,3328,Tegal,201,Kebakaran,Kebakaran,29,9,2009,,0,,0,0,7,,,,,
3302201200909291,33,Jawa Tengah,3302,Banyumas,201,Kebakaran,Kebakaran,29,9,2009,,0,,0,0,1,,,,,
6301105200909291,63,Kalimantan Selatan,6301,Tanah Laut,105,Puting Beliung,Puting Beliung,29,9,2009,,0,,0,12,5,,,,,
6472107200909291,64,Kalimantan Timur,6472,Kota Samarinda,107,Kebakaran hutan dan lahan,Kebakaran hutan dan lahan,29,9,2009,,0,,0,0,,,,,,
1174104200909281,11,Aceh,1174,Kota Lhokseumawe,104,GELOMBANG PASANG / ABRASI,GELOMBANG PASANG / ABRASI,28,9,2009,,1,,0,3,1,,,,,
7403105200909281,74,Sulawesi Tenggara,7403,Konawe,105,Puting Beliung,Puting Beliung,28,9,2009,,0,,0,0,3,,6,,,
6472107200909281,64,Kalimantan Timur,6472,Kota Samarinda,107,Kebakaran hutan dan lahan,Kebakaran hutan dan lahan,28,9,2009,,0,,0,0,,,,,,
5304105200909281,53,Nusa Tenggara Timur,5304,Timor Tengah Selatan,105,Puting Beliung,Puting Beliung,28,9,2009,,0,,0,0,1,,,,,
1408105200909281,14,Riau,1408,Bengkalis,105,Puting Beliung,Puting Beliung,28,9,2009,,0,,0,472,116,,,,,
3322201200909271,33,Jawa Tengah,3322,Semarang,201,Kebakaran,Kebakaran,27,9,2009,,0,,0,0,1,,,,,
6472107200909271,64,Kalimantan Timur,6472,Kota Samarinda,107,Kebakaran hutan dan lahan,Kebakaran hutan dan lahan,27,9,2009,,0,,0,0,,,,,,
3401201200909261,34,DI Yogyakarta,3401,KULON PROGO,201,Kebakaran,Kebakaran,26,9,2009,,0,,0,0,1,,,,,
3372201200909261,33,Jawa Tengah,3372,Kota Surakarta,201,Kebakaran,Kebakaran,26,9,2009,,0,,0,0,,,,,,
3318201200909261,33,Jawa Tengah,3318,Pati,201,Kebakaran,Kebakaran,26,9,2009,,0,,0,0,1,,,,,
3307201200909261,33,Jawa Tengah,3307,Wonosobo,201,Kebakaran,Kebakaran,26,9,2009,,0,,0,0,,,,,,
