"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone"
"201110","01","1","2488","14.376","15650","4.88159"
"201111","01","1","2821","14.182","16921","5.06199"
"201112","01","1","2133","16.052","12984","4.88199"
"201201","01","1","2283","15.593","13096","4.80626"
"201202","01","1","2427","15.244","16664","4.64361"
"201203","01","1","2864","15.788","20108","4.87887"
"201204","01","1","2886","16.096","20082","4.80439"
"201205","01","1","3264","15.901","21430","5.10143"
"201206","01","1","2776","16.295","16728","4.72452"
"201207","01","1","2629","15.215","20302","5.1109"
"201208","01","1","2288","14.451","16203","5.33771"
"201209","01","1","2848","14.51","23520","4.94305"
"201210","01","1","2926","15.369","20515","5.31757"
"201211","01","1","2681","14.557","15974","2.38677"
"201212","01","1","1971","14.615","11638","2.34873"
"201301","01","1","2719","16.884","18306","2.20982"
"201302","01","1","2236","16.002","15344","2.33201"
"201303","01","1","2343","15.615","15112","2.32062"
"201304","01","1","884","15.121","6029","1.98659"
"201305","01","1","1008","15.517","6960","2.26694"
"201306","01","1","2164","14.676","16306","2.01313"
"201307","01","1","3199","14.783","25141","2.05246"
"201308","01","1","2885","14.145","22399","2.24672"
"201309","01","1","3617","13.635","27605","2.34858"
"201310","01","1","3578","12.854","26905","2.27713"
"201311","01","1","3783","14.455","30801","2.41857"
"201312","01","1","2382","14.935","18107","2.36238"
"201401","01","1","2334","15.609","20230","1.96267"
"201402","01","1","4028","15.594","33102","2.07871"
"201403","01","1","2973","16.175","24883","2.04676"
"201404","01","1","3026","17.098","25560","2.16649"
"201405","01","1","2446","15.655","18445","2.21908"
"201406","01","1","2213","14.917","16437","2.37681"
"201407","01","1","3381","17.825","36141","2.46339"
"201408","01","1","3160","15.099","24686","2.19987"
"201409","01","1","2588","14.754","20692","2.10447"
"201410","01","1","3653","15.57","29003","2.32473"
"201411","01","1","3061","14.536","23284","2.20414"
"201412","01","1","5671","16.584","87802","1.81625"
"201501","01","1","6045","16.01","64732","1.92758"
"201502","01","1","5235","15.989","72136","-0.180153"
"201503","01","1","5858","15.267","113522","-2.62299"
"201504","01","1","8027","14.671","180394","-2.80934"
"201505","01","1","5450","13.42","89716","-3.24665"
"201506","01","1","4532","16.782","75774","-2.71744"
"201507","01","1","4347","16.035","60417","-2.54734"
"201508","01","1","4243","15.697","61500","-2.12737"
"201509","01","1","4396","14.804","49884","-2.091"
"201510","01","1","5076","14.309","55368","-2.99011"
"201511","01","1","4595","13.908","52391","-2.51607"
"201512","01","1","3767","14.671","56336","-2.46818"
"201601","01","1","5501","15.295","102079","-4.15521"
"201602","01","1","3840","14.1","50155","-2.50043"
"201603","01","1","4403","14.319","43410","-2.52862"
"201604","01","1","3795","13.091","37925","-2.28015"
"201605","01","1","3949","12.917","43061","-2.28539"
"201606","01","1","4607","14.762","49249","-2.31998"
"201607","01","1","4089","13.683","46441","-2.87386"
"201608","01","1","4793","13.869","46203","-2.38413"
"201609","01","1","4597","13.673","40520","-2.36816"
"201610","01","1","3795","13.651","41346","-2.03235"
"201611","01","1","4510","13.289","47538","-2.58612"
"201612","01","1","4643","13.868","70857","-3.45544"
"201701","01","1","4455","14.974","51013","-2.24273"
"201702","01","1","4382","14.089","50946","-2.15181"
"201703","01","1","4289","11.849","42559","-1.92928"
"201704","01","1","3723","13.019","39757","-1.99525"
"201705","01","1","4349","13.159","49996","-2.9815"
"201706","01","1","3298","13.77","27943","-2.6742"
"201707","01","1","2760","12.668","24096","-2.41018"
"201708","01","1","2608","13.562","21291","-1.78268"
"201709","01","1","3372","14.599","28656","-2.4201"
"201710","01","1","3390","14.859","42062","-2.57478"
"201711","01","1","3441","14.245","58216","-2.397"
"201712","01","1","2429","13.221","23101","-1.97692"
"201801","01","1","2860","14","25249","-1.93563"
