"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone","CountEventNegativeTone","CountEventPositiveTone","SumNumNegativeArticle","SumNumPositiveArticle"
"199910","02","1","611","6.859","3464","5.40592","0","611","0","3464"
"199911","02","1","546","6.898","3245","5.11359","0","546","0","3245"
"199912","02","1","497","7.7","3069","5.00065","0","497","0","3069"
"200001","02","1","653","7.949","3673","4.53247","0","653","0","3673"
"200002","02","1","413","6.288","1988","5.4111","0","413","0","1988"
"200003","02","1","294","6.391","1664","5.05059","0","294","0","1664"
"200004","02","1","320","6.779","1861","4.71489","0","320","0","1861"
"200005","02","1","284","5.612","1811","5.12879","0","284","0","1811"
"200006","02","1","388","6.224","2369","4.66901","0","388","0","2369"
"200007","02","1","374","6.628","1995","4.88372","0","374","0","1995"
"200008","02","1","390","6.086","2420","5.15645","0","390","0","2420"
"200009","02","1","446","5.3","2270","4.53795","0","446","0","2270"
"200010","02","1","394","6.363","2031","4.82554","0","394","0","2031"
"200011","02","1","373","6.477","1778","4.98146","0","373","0","1778"
"200012","02","1","279","4.49","1382","5.3596","0","279","0","1382"
"200101","02","1","335","5.499","1547","5.45056","0","335","0","1547"
"200102","02","1","490","6.745","3035","4.83745","0","490","0","3035"
"200103","02","1","389","6.004","2149","4.73557","0","389","0","2149"
"200104","02","1","248","5.755","1385","4.97052","0","248","0","1385"
"200105","02","1","493","7.712","3402","4.9486","0","493","0","3402"
"200106","02","1","334","5.853","1713","5.1174","0","334","0","1713"
"200107","02","1","373","5.599","2003","5.76818","0","373","0","2003"
"200108","02","1","344","5.379","1814","5.32164","0","344","0","1814"
"200109","02","1","304","5.851","1422","5.281","0","304","0","1422"
"200110","02","1","381","7.516","1927","5.24688","0","381","0","1927"
"200111","02","1","319","6.485","1554","5.44006","0","319","0","1554"
"200112","02","1","196","5.5","942","4.71036","0","196","0","942"
"200201","02","1","275","5.297","1389","5.13161","0","275","0","1389"
"200202","02","1","275","6.033","1403","5.04517","0","275","0","1403"
"200203","02","1","159","4.854","762","5.07694","0","159","0","762"
"200204","02","1","213","5.814","981","5.32525","0","213","0","981"
"200205","02","1","181","4.905","848","5.33895","0","181","0","848"
"200206","02","1","145","4.908","643","4.89958","0","145","0","643"
"200207","02","1","367","5.653","1596","5.47136","0","367","0","1596"
"200208","02","1","435","6.528","2086","4.94097","0","435","0","2086"
"200209","02","1","237","5.228","1057","4.61488","0","237","0","1057"
"200210","02","1","342","4.625","1576","4.65004","0","342","0","1576"
"200211","02","1","311","4.262","1493","4.55383","0","311","0","1493"
"200212","02","1","308","5.112","1512","4.84812","0","308","0","1512"
"200301","02","1","350","5.704","1751","4.70816","0","350","0","1751"
"200302","02","1","282","5.709","1463","4.94712","0","282","0","1463"
"200303","02","1","347","7.969","2431","5.27358","0","347","0","2431"
"200304","02","1","365","5.827","2752","5.2494","0","365","0","2752"
"200305","02","1","425","5.783","2762","5.02642","0","425","0","2762"
"200306","02","1","411","6.312","1823","5.04141","0","411","0","1823"
"200307","02","1","484","7.003","2125","4.61073","0","484","0","2125"
"200308","02","1","438","5.356","2454","4.62715","0","438","0","2454"
"200309","02","1","505","6.279","2676","4.69736","0","505","0","2676"
"200310","02","1","424","5.126","2220","5.09158","0","424","0","2220"
"200311","02","1","235","4.959","1272","4.93741","0","235","0","1272"
"200312","02","1","276","4.868","1598","4.87129","0","276","0","1598"
"200401","02","1","275","5.831","1428","4.83517","0","275","0","1428"
